,Sno,Headline,Covid,Sentiment,Covid_punct,clean_covid,clean_covid_v2,clean_covid_v3,clean_covid_v4,clean_covid_v5,clean_covid_v6,covid_token,covid_token_filtered,covid_stemmed,covid_lemmatized
10,10,"22 new cases of COVID-19 in Karnataka, total crosses 550",1,0, new cases of COVID in Karnataka total crosses , new cases of COVID in Karnataka total crosses , new cases of COVID in Karnataka total crosses , new cases of COVID in Karnataka total crosses , new cases of covid in karnataka total crosses , new cases of covid in karnataka total crosses , new cases of covid in karnataka total crosses ,"['new', 'cases', 'of', 'covid', 'in', 'karnataka', 'total', 'crosses']","['new', 'cases', 'covid', 'karnataka', 'total', 'crosses']",new case covid karnataka total cross,new case covid karnataka total cross
11,11,Sanitation worker donates 1 month's salary to Telangana CM Relief Fund,1,1,Sanitation worker donates  months salary to Telangana CM Relief Fund,Sanitation worker donates  months salary to Telangana CM Relief Fund,Sanitation worker donates  months salary to Telangana CM Relief Fund,Sanitation worker donates  months salary to Telangana CM Relief Fund,sanitation worker donates  months salary to telangana cm relief fund,sanitation worker donates  months salary to telangana cm relief fund,sanitation worker donates  months salary to telangana cm relief fund,"['sanitation', 'worker', 'donates', 'months', 'salary', 'to', 'telangana', 'cm', 'relief', 'fund']","['sanitation', 'worker', 'donates', 'months', 'salary', 'telangana', 'cm', 'relief', 'fund']",sanit worker donat month salari telangana cm relief fund,sanitation worker donates month salary telangana cm relief fund
12,12,4 more traders in Delhi's Azadpur Mandi test coronavirus positive,1,0, more traders in Delhis Azadpur Mandi test coronavirus positive, more traders in Delhis Azadpur Mandi test coronavirus positive, more traders in Delhis Azadpur Mandi test coronavirus positive, more traders in Delhis Azadpur Mandi test coronavirus positive, more traders in delhis azadpur mandi test coronavirus positive, more traders in delhis azadpur mandi test coronavirus positive, more traders in delhis azadpur mandi test coronavirus positive,"['more', 'traders', 'in', 'delhis', 'azadpur', 'mandi', 'test', 'coronavirus', 'positive']","['traders', 'delhis', 'azadpur', 'mandi', 'test', 'coronavirus', 'positive']",trader delhi azadpur mandi test coronaviru posit,trader delhi azadpur mandi test coronavirus positive
13,13,Karnataka converts state transport bus into Mobile Fever Clinic,1,1,Karnataka converts state transport bus into Mobile Fever Clinic,Karnataka converts state transport bus into Mobile Fever Clinic,Karnataka converts state transport bus into Mobile Fever Clinic,Karnataka converts state transport bus into Mobile Fever Clinic,karnataka converts state transport bus into mobile fever clinic,karnataka converts state transport bus into mobile fever clinic,karnataka converts state transport bus into mobile fever clinic,"['karnataka', 'converts', 'state', 'transport', 'bus', 'into', 'mobile', 'fever', 'clinic']","['karnataka', 'converts', 'state', 'transport', 'bus', 'mobile', 'fever', 'clinic']",karnataka convert state transport bu mobil fever clinic,karnataka convert state transport bus mobile fever clinic
14,14,US praises India for lifting export restrictions on critical medical supplies,1,1,US praises India for lifting export restrictions on critical medical supplies,US praises India for lifting export restrictions on critical medical supplies,US praises India for lifting export restrictions on critical medical supplies,US praises India for lifting export restrictions on critical medical supplies,us praises india for lifting export restrictions on critical medical supplies,us praises india for lifting export restrictions on critical medical supplies,us praises india for lifting export restrictions on critical medical supplies,"['us', 'praises', 'india', 'for', 'lifting', 'export', 'restrictions', 'on', 'critical', 'medical', 'supplies']","['us', 'praises', 'india', 'lifting', 'export', 'restrictions', 'critical', 'medical', 'supplies']",us prais india lift export restrict critic medic suppli,u praise india lifting export restriction critical medical supply
15,15,"10 test +ve in Haryana's Jhajjar district, 9 had travelled to Delhi",1,0, test ve in Haryanas Jhajjar district  had travelled to Delhi, test ve in Haryanas Jhajjar district  had travelled to Delhi, test ve in Haryanas Jhajjar district  had travelled to Delhi, test ve in Haryanas Jhajjar district  had travelled to Delhi, test ve in haryanas jhajjar district  had travelled to delhi, test ve in haryanas jhajjar district  had travelled to delhi, test ve in haryanas jhajjar district  had travelled to delhi,"['test', 've', 'in', 'haryanas', 'jhajjar', 'district', 'had', 'travelled', 'to', 'delhi']","['test', 'haryanas', 'jhajjar', 'district', 'travelled', 'delhi']",test haryana jhajjar district travel delhi,test haryanas jhajjar district travelled delhi
16,16,"86 new COVID-19 cases reported in Rajasthan, total cases in state now 2,524",1,0, new COVID cases reported in Rajasthan total cases in state now , new COVID cases reported in Rajasthan total cases in state now , new COVID cases reported in Rajasthan total cases in state now , new COVID cases reported in Rajasthan total cases in state now , new covid cases reported in rajasthan total cases in state now , new covid cases reported in rajasthan total cases in state now , new covid cases reported in rajasthan total cases in state now ,"['new', 'covid', 'cases', 'reported', 'in', 'rajasthan', 'total', 'cases', 'in', 'state', 'now']","['new', 'covid', 'cases', 'reported', 'rajasthan', 'total', 'cases', 'state']",new covid case report rajasthan total case state,new covid case reported rajasthan total case state
17,17,"71 new COVID-19 cases in Andhra, total infections cross 1,400",1,0, new COVID cases in Andhra total infections cross , new COVID cases in Andhra total infections cross , new COVID cases in Andhra total infections cross , new COVID cases in Andhra total infections cross , new covid cases in andhra total infections cross , new covid cases in andhra total infections cross , new covid cases in andhra total infections cross ,"['new', 'covid', 'cases', 'in', 'andhra', 'total', 'infections', 'cross']","['new', 'covid', 'cases', 'andhra', 'total', 'infections', 'cross']",new covid case andhra total infect cross,new covid case andhra total infection cross
18,18,SC refuses to stay government's Central Vista project in Delhi,0,0,SC refuses to stay governments Central Vista project in Delhi,SC refuses to stay governments Central Vista project in Delhi,SC refuses to stay governments Central Vista project in Delhi,SC refuses to stay governments Central Vista project in Delhi,sc refuses to stay governments central vista project in delhi,sc refuses to stay governments central vista project in delhi,sc refuses to stay governments central vista project in delhi,"['sc', 'refuses', 'to', 'stay', 'governments', 'central', 'vista', 'project', 'in', 'delhi']","['sc', 'refuses', 'stay', 'governments', 'central', 'vista', 'project', 'delhi']",sc refus stay govern central vista project delhi,sc refuse stay government central vista project delhi
19,19,"Man burnt alive, 7 houses and temple gutted in fire in HP village",0,0,Man burnt alive  houses and temple gutted in fire in HP village,Man burnt alive  houses and temple gutted in fire in HP village,Man burnt alive  houses and temple gutted in fire in HP village,Man burnt alive  houses and temple gutted in fire in HP village,man burnt alive  houses and temple gutted in fire in hp village,man burnt alive  houses and temple gutted in fire in hp village,man burnt alive  houses and temple gutted in fire in hp village,"['man', 'burnt', 'alive', 'houses', 'and', 'temple', 'gutted', 'in', 'fire', 'in', 'hp', 'village']","['man', 'burnt', 'alive', 'houses', 'temple', 'gutted', 'fire', 'hp', 'village']",man burnt aliv hous templ gut fire hp villag,man burnt alive house temple gutted fire hp village
20,20,"India needs ₹65,000 cr to help the poor, it isn't much: Rajan tells Rahul Gandhi",0,1,India needs ₹ cr to help the poor it isnt much Rajan tells Rahul Gandhi,India needs ₹ cr to help the poor it isnt much Rajan tells Rahul Gandhi,India needs ₹ cr to help the poor it isnt much Rajan tells Rahul Gandhi,India needs ₹ cr to help the poor it isnt much Rajan tells Rahul Gandhi,india needs ₹ cr to help the poor it isnt much rajan tells rahul gandhi,india needs   cr to help the poor it isnt much rajan tells rahul gandhi,india needs   cr to help the poor it isnt much rajan tells rahul gandhi,"['india', 'needs', 'cr', 'to', 'help', 'the', 'poor', 'it', 'isnt', 'much', 'rajan', 'tells', 'rahul', 'gandhi']","['india', 'needs', 'cr', 'help', 'poor', 'isnt', 'much', 'rajan', 'tells', 'rahul', 'gandhi']",india need cr help poor isnt much rajan tell rahul gandhi,india need cr help poor isnt much rajan tell rahul gandhi
21,21,Man stabbed to death by 4 in Delhi over high price of chicken: Police,0,0,Man stabbed to death by  in Delhi over high price of chicken Police,Man stabbed to death by  in Delhi over high price of chicken Police,Man stabbed to death by  in Delhi over high price of chicken Police,Man stabbed to death by  in Delhi over high price of chicken Police,man stabbed to death by  in delhi over high price of chicken police,man stabbed to death by  in delhi over high price of chicken police,man stabbed to death by  in delhi over high price of chicken police,"['man', 'stabbed', 'to', 'death', 'by', 'in', 'delhi', 'over', 'high', 'price', 'of', 'chicken', 'police']","['man', 'stabbed', 'death', 'delhi', 'high', 'price', 'chicken', 'police']",man stab death delhi high price chicken polic,man stabbed death delhi high price chicken police
22,22,"3 on COVID-19 duty held for killing, burning rat snake in Chennai",1,0, on COVID duty held for killing burning rat snake in Chennai, on COVID duty held for killing burning rat snake in Chennai, on COVID duty held for killing burning rat snake in Chennai, on COVID duty held for killing burning rat snake in Chennai, on covid duty held for killing burning rat snake in chennai, on covid duty held for killing burning rat snake in chennai, on covid duty held for killing burning rat snake in chennai,"['on', 'covid', 'duty', 'held', 'for', 'killing', 'burning', 'rat', 'snake', 'in', 'chennai']","['covid', 'duty', 'held', 'killing', 'burning', 'rat', 'snake', 'chennai']",covid duti held kill burn rat snake chennai,covid duty held killing burning rat snake chennai
23,23,IIT Jammu develops face-shield for police on trial basis,1,1,IIT Jammu develops faceshield for police on trial basis,IIT Jammu develops faceshield for police on trial basis,IIT Jammu develops faceshield for police on trial basis,IIT Jammu develops faceshield for police on trial basis,iit jammu develops faceshield for police on trial basis,iit jammu develops faceshield for police on trial basis,iit jammu develops faceshield for police on trial basis,"['iit', 'jammu', 'develops', 'faceshield', 'for', 'police', 'on', 'trial', 'basis']","['iit', 'jammu', 'develops', 'faceshield', 'police', 'trial', 'basis']",iit jammu develop faceshield polic trial basi,iit jammu develops faceshield police trial basis
24,24,"81 coronavirus patients recover in Gautam Buddha Nagar, active cases now 56",1,1, coronavirus patients recover in Gautam Buddha Nagar active cases now , coronavirus patients recover in Gautam Buddha Nagar active cases now , coronavirus patients recover in Gautam Buddha Nagar active cases now , coronavirus patients recover in Gautam Buddha Nagar active cases now , coronavirus patients recover in gautam buddha nagar active cases now , coronavirus patients recover in gautam buddha nagar active cases now , coronavirus patients recover in gautam buddha nagar active cases now ,"['coronavirus', 'patients', 'recover', 'in', 'gautam', 'buddha', 'nagar', 'active', 'cases', 'now']","['coronavirus', 'patients', 'recover', 'gautam', 'buddha', 'nagar', 'active', 'cases']",coronaviru patient recov gautam buddha nagar activ case,coronavirus patient recover gautam buddha nagar active case
25,25,"Colleges to reopen for old students from Aug 1, for new students from Sept 1: UGC",1,1,Colleges to reopen for old students from Aug  for new students from Sept  UGC,Colleges to reopen for old students from Aug  for new students from Sept  UGC,Colleges to reopen for old students from Aug  for new students from Sept  UGC,Colleges to reopen for old students from Aug  for new students from Sept  UGC,colleges to reopen for old students from aug  for new students from sept  ugc,colleges to reopen for old students from aug  for new students from sept  ugc,colleges to reopen for old students from aug  for new students from sept  ugc,"['colleges', 'to', 'reopen', 'for', 'old', 'students', 'from', 'aug', 'for', 'new', 'students', 'from', 'sept', 'ugc']","['colleges', 'reopen', 'old', 'students', 'aug', 'new', 'students', 'sept', 'ugc']",colleg reopen old student aug new student sept ugc,college reopen old student aug new student sept ugc
26,26,"Govt allows inter-state movement of stranded migrant workers, students",1,1,Govt allows interstate movement of stranded migrant workers students,Govt allows interstate movement of stranded migrant workers students,Govt allows interstate movement of stranded migrant workers students,Govt allows interstate movement of stranded migrant workers students,govt allows interstate movement of stranded migrant workers students,govt allows interstate movement of stranded migrant workers students,govt allows interstate movement of stranded migrant workers students,"['govt', 'allows', 'interstate', 'movement', 'of', 'stranded', 'migrant', 'workers', 'students']","['govt', 'allows', 'interstate', 'movement', 'stranded', 'migrant', 'workers', 'students']",govt allow interst movement strand migrant worker student,govt allows interstate movement stranded migrant worker student
27,27,"Several districts to get considerable relaxations from May 4, guidelines soon: Govt",1,1,Several districts to get considerable relaxations from May  guidelines soon Govt,Several districts to get considerable relaxations from May  guidelines soon Govt,Several districts to get considerable relaxations from May  guidelines soon Govt,Several districts to get considerable relaxations from May  guidelines soon Govt,several districts to get considerable relaxations from may  guidelines soon govt,several districts to get considerable relaxations from may  guidelines soon govt,several districts to get considerable relaxations from may  guidelines soon govt,"['several', 'districts', 'to', 'get', 'considerable', 'relaxations', 'from', 'may', 'guidelines', 'soon', 'govt']","['several', 'districts', 'get', 'considerable', 'relaxations', 'may', 'guidelines', 'soon', 'govt']",sever district get consider relax may guidelin soon govt,several district get considerable relaxation may guideline soon govt
28,28,"Coronavirus cases rise to 2,162 in Tamil Nadu; 1,210 patients discharged",1,0,Coronavirus cases rise to  in Tamil Nadu  patients discharged,Coronavirus cases rise to  in Tamil Nadu  patients discharged,Coronavirus cases rise to  in Tamil Nadu  patients discharged,Coronavirus cases rise to  in Tamil Nadu  patients discharged,coronavirus cases rise to  in tamil nadu  patients discharged,coronavirus cases rise to  in tamil nadu  patients discharged,coronavirus cases rise to  in tamil nadu  patients discharged,"['coronavirus', 'cases', 'rise', 'to', 'in', 'tamil', 'nadu', 'patients', 'discharged']","['coronavirus', 'cases', 'rise', 'tamil', 'nadu', 'patients', 'discharged']",coronaviru case rise tamil nadu patient discharg,coronavirus case rise tamil nadu patient discharged
29,29,Maharashtra reports 32 coronavirus deaths and 597 new cases today,1,0,Maharashtra reports  coronavirus deaths and  new cases today,Maharashtra reports  coronavirus deaths and  new cases today,Maharashtra reports  coronavirus deaths and  new cases today,Maharashtra reports  coronavirus deaths and  new cases today,maharashtra reports  coronavirus deaths and  new cases today,maharashtra reports  coronavirus deaths and  new cases today,maharashtra reports  coronavirus deaths and  new cases today,"['maharashtra', 'reports', 'coronavirus', 'deaths', 'and', 'new', 'cases', 'today']","['maharashtra', 'reports', 'coronavirus', 'deaths', 'new', 'cases', 'today']",maharashtra report coronaviru death new case today,maharashtra report coronavirus death new case today
30,30,Uttar Pradesh reports 81 new coronavirus cases; total 510 patients recover,1,0,Uttar Pradesh reports  new coronavirus cases total  patients recover,Uttar Pradesh reports  new coronavirus cases total  patients recover,Uttar Pradesh reports  new coronavirus cases total  patients recover,Uttar Pradesh reports  new coronavirus cases total  patients recover,uttar pradesh reports  new coronavirus cases total  patients recover,uttar pradesh reports  new coronavirus cases total  patients recover,uttar pradesh reports  new coronavirus cases total  patients recover,"['uttar', 'pradesh', 'reports', 'new', 'coronavirus', 'cases', 'total', 'patients', 'recover']","['uttar', 'pradesh', 'reports', 'new', 'coronavirus', 'cases', 'total', 'patients', 'recover']",uttar pradesh report new coronaviru case total patient recov,uttar pradesh report new coronavirus case total patient recover
31,31,"Coronavirus cases cross 4,000 in Gujarat, death toll rises to 197",1,0,Coronavirus cases cross  in Gujarat death toll rises to ,Coronavirus cases cross  in Gujarat death toll rises to ,Coronavirus cases cross  in Gujarat death toll rises to ,Coronavirus cases cross  in Gujarat death toll rises to ,coronavirus cases cross  in gujarat death toll rises to ,coronavirus cases cross  in gujarat death toll rises to ,coronavirus cases cross  in gujarat death toll rises to ,"['coronavirus', 'cases', 'cross', 'in', 'gujarat', 'death', 'toll', 'rises', 'to']","['coronavirus', 'cases', 'cross', 'gujarat', 'death', 'toll', 'rises']",coronaviru case cross gujarat death toll rise,coronavirus case cross gujarat death toll rise
32,32,"Lockdown to continue in Punjab for 2 weeks, relaxation from 7 am to 11 am daily",1,1,Lockdown to continue in Punjab for  weeks relaxation from  am to  am daily,Lockdown to continue in Punjab for  weeks relaxation from  am to  am daily,Lockdown to continue in Punjab for  weeks relaxation from  am to  am daily,Lockdown to continue in Punjab for  weeks relaxation from  am to  am daily,lockdown to continue in punjab for  weeks relaxation from  am to  am daily,lockdown to continue in punjab for  weeks relaxation from  am to  am daily,lockdown to continue in punjab for  weeks relaxation from  am to  am daily,"['lockdown', 'to', 'continue', 'in', 'punjab', 'for', 'weeks', 'relaxation', 'from', 'am', 'to', 'am', 'daily']","['lockdown', 'continue', 'punjab', 'weeks', 'relaxation', 'daily']",lockdown continu punjab week relax daili,lockdown continue punjab week relaxation daily
33,33,"425 COVID-19 cases in Agra district, 69 recover",1,0, COVID cases in Agra district  recover, COVID cases in Agra district  recover, COVID cases in Agra district  recover, COVID cases in Agra district  recover, covid cases in agra district  recover, covid cases in agra district  recover, covid cases in agra district  recover,"['covid', 'cases', 'in', 'agra', 'district', 'recover']","['covid', 'cases', 'agra', 'district', 'recover']",covid case agra district recov,covid case agra district recover
34,34,Swiggy delivery executive tests positive for coronavirus in Chennai,1,0,Swiggy delivery executive tests positive for coronavirus in Chennai,Swiggy delivery executive tests positive for coronavirus in Chennai,Swiggy delivery executive tests positive for coronavirus in Chennai,Swiggy delivery executive tests positive for coronavirus in Chennai,swiggy delivery executive tests positive for coronavirus in chennai,swiggy delivery executive tests positive for coronavirus in chennai,swiggy delivery executive tests positive for coronavirus in chennai,"['swiggy', 'delivery', 'executive', 'tests', 'positive', 'for', 'coronavirus', 'in', 'chennai']","['swiggy', 'delivery', 'executive', 'tests', 'positive', 'coronavirus', 'chennai']",swiggi deliveri execut test posit coronaviru chennai,swiggy delivery executive test positive coronavirus chennai
35,35,"0.3% COVID-19 patients in India on ventilator, 2.34% in ICU; total cases now 31,787",1,0, COVID patients in India on ventilator  in ICU total cases now , COVID patients in India on ventilator  in ICU total cases now , COVID patients in India on ventilator  in ICU total cases now , COVID patients in India on ventilator  in ICU total cases now , covid patients in india on ventilator  in icu total cases now , covid patients in india on ventilator  in icu total cases now , covid patients in india on ventilator  in icu total cases now ,"['covid', 'patients', 'in', 'india', 'on', 'ventilator', 'in', 'icu', 'total', 'cases', 'now']","['covid', 'patients', 'india', 'ventilator', 'icu', 'total', 'cases']",covid patient india ventil icu total case,covid patient india ventilator icu total case
36,36,"12 new COVID-19 cases in Bihar's Buxar, state total reaches 378",1,0, new COVID cases in Bihars Buxar state total reaches , new COVID cases in Bihars Buxar state total reaches , new COVID cases in Bihars Buxar state total reaches , new COVID cases in Bihars Buxar state total reaches , new covid cases in bihars buxar state total reaches , new covid cases in bihars buxar state total reaches , new covid cases in bihars buxar state total reaches ,"['new', 'covid', 'cases', 'in', 'bihars', 'buxar', 'state', 'total', 'reaches']","['new', 'covid', 'cases', 'bihars', 'buxar', 'state', 'total', 'reaches']",new covid case bihar buxar state total reach,new covid case bihar buxar state total reach
37,37,Hyderabad police celebrates toddler's 1st birthday as her parents are in US,0,1,Hyderabad police celebrates toddlers st birthday as her parents are in US,Hyderabad police celebrates toddlers st birthday as her parents are in US,Hyderabad police celebrates toddlers st birthday as her parents are in US,Hyderabad police celebrates toddlers st birthday as her parents are in US,hyderabad police celebrates toddlers st birthday as her parents are in us,hyderabad police celebrates toddlers st birthday as her parents are in us,hyderabad police celebrates toddlers st birthday as her parents are in us,"['hyderabad', 'police', 'celebrates', 'toddlers', 'st', 'birthday', 'as', 'her', 'parents', 'are', 'in', 'us']","['hyderabad', 'police', 'celebrates', 'toddlers', 'st', 'birthday', 'parents', 'us']",hyderabad polic celebr toddler st birthday parent us,hyderabad police celebrates toddler st birthday parent u
38,38,JNU to teach 'Leadership Lessons from Ramayana',0,1,JNU to teach Leadership Lessons from Ramayana,JNU to teach Leadership Lessons from Ramayana,JNU to teach Leadership Lessons from Ramayana,JNU to teach Leadership Lessons from Ramayana,jnu to teach leadership lessons from ramayana,jnu to teach leadership lessons from ramayana,jnu to teach leadership lessons from ramayana,"['jnu', 'to', 'teach', 'leadership', 'lessons', 'from', 'ramayana']","['jnu', 'teach', 'leadership', 'lessons', 'ramayana']",jnu teach leadership lesson ramayana,jnu teach leadership lesson ramayana
39,39,"11 traders at Delhi's Azadpur Mandi test COVID-19 +ve, shops sealed",1,0, traders at Delhis Azadpur Mandi test COVID ve shops sealed, traders at Delhis Azadpur Mandi test COVID ve shops sealed, traders at Delhis Azadpur Mandi test COVID ve shops sealed, traders at Delhis Azadpur Mandi test COVID ve shops sealed, traders at delhis azadpur mandi test covid ve shops sealed, traders at delhis azadpur mandi test covid ve shops sealed, traders at delhis azadpur mandi test covid ve shops sealed,"['traders', 'at', 'delhis', 'azadpur', 'mandi', 'test', 'covid', 've', 'shops', 'sealed']","['traders', 'delhis', 'azadpur', 'mandi', 'test', 'covid', 'shops', 'sealed']",trader delhi azadpur mandi test covid shop seal,trader delhi azadpur mandi test covid shop sealed
40,40,WB asked doctors to not write COVID-19 in patients' death certificates: Adhir,1,1,WB asked doctors to not write COVID in patients death certificates Adhir,WB asked doctors to not write COVID in patients death certificates Adhir,WB asked doctors to not write COVID in patients death certificates Adhir,WB asked doctors to not write COVID in patients death certificates Adhir,welcome back asked doctors to not write covid in patients death certificates adhir,welcome back asked doctors to not write covid in patients death certificates adhir,welcome back asked doctors to not write covid in patients death certificates adhir,"['welcome', 'back', 'asked', 'doctors', 'to', 'not', 'write', 'covid', 'in', 'patients', 'death', 'certificates', 'adhir']","['welcome', 'back', 'asked', 'doctors', 'write', 'covid', 'patients', 'death', 'certificates', 'adhir']",welcom back ask doctor write covid patient death certif adhir,welcome back asked doctor write covid patient death certificate adhir
